runId,createdAtIso,pairingId,condition,turnsRequested,maxIters,turnsCompleted,loopIterationsTotal,loopTurnIterationsPresent,totalLatencyMs,questionId,bloomLevel,difficulty,topicTag,courseLevel,skillTag,choicesCount,correctChoiceIndex,problemStatementLength,referenceAnswerLength,transcriptMessages,transcriptStudentMessages,transcriptTutorMessages,transcriptCharsTotal,transcriptCharsStudent,transcriptCharsTutor,studentTurns,attackLevelMin,attackLevelMax,attackLevelMean,turnJudgmentsCount,tutorDraftsCount,supervisorVerdictsCount,callsCount,callErrorsCount,callsGenerateText,callsGenerateObject,callDurationSumMs,usageInputTokensSum,usageOutputTokensSum,usageTotalTokensSum,usageReasoningTokensSum,usageCachedInputTokensSum,judgeLeakage,judgeHallucination,judgeCompliance
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-single,single,6,5,6,,False,32332,canterbury-633310,1,easy,TopicWG-Graphs,CS2,Skill-PureKnowledgeRecall,5,1,90,294,12,6,6,4575,2056,2519,6,1,6,3.5,6,0,0,19,0,6,13,32330,25045,2095,27140,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gpt,dual-loop,6,5,6,6,True,68420,canterbury-633310,1,easy,TopicWG-Graphs,CS2,Skill-PureKnowledgeRecall,5,1,90,294,12,6,6,4547,2016,2531,6,1,6,3.5,6,6,6,25,0,6,19,68415,32757,3505,36262,1071,5760,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gemini,dual-loop,6,5,6,6,True,54055,canterbury-633310,1,easy,TopicWG-Graphs,CS2,Skill-PureKnowledgeRecall,5,1,90,294,12,6,6,4883,2294,2589,6,1,6,3.5,6,6,6,25,0,6,19,54051,32720,3166,35886,598,1024,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-single,single,6,5,1,,False,15118,canterbury-633220,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,115,52,2,1,1,770,259,511,1,1,1,1.0,1,0,0,4,0,1,3,15117,3469,1016,4485,596,0,True,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gemini,dual-loop,6,5,6,6,True,40521,canterbury-633310,1,easy,TopicWG-Graphs,CS2,Skill-PureKnowledgeRecall,5,1,90,294,12,6,6,4411,2033,2378,6,1,6,3.5,6,6,6,25,0,6,19,40518,31365,2400,33765,0,0,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-single,single,6,5,1,,False,6138,canterbury-633220,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,115,52,2,1,1,617,191,426,1,1,1,1.0,1,0,0,4,0,1,3,6138,3468,361,3829,0,0,True,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gpt,dual-loop,6,5,1,1,True,9358,canterbury-633220,1,easy,TopicSimon-CollectionsExceptArray,CS2,Skill-PureKnowledgeRecall,5,2,115,52,2,1,1,576,147,429,1,1,1,1.0,1,1,1,5,0,1,4,9356,4278,496,4774,70,0,True,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gemini-gpt,dual-loop,6,5,6,6,True,58820,canterbury-633310,1,easy,TopicWG-Graphs,CS2,Skill-PureKnowledgeRecall,5,1,90,294,12,6,6,4066,1806,2260,6,1,6,3.5,6,6,6,25,0,6,19,58817,30248,3042,33290,698,2304,False,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-gpt,dual-loop,6,5,1,1,True,13171,canterbury-632313,1,easy,TopicWG-ADT-Queue-DefInterfaceUse,CS2,Skill-PureKnowledgeRecall,5,3,29,169,2,1,1,586,155,431,1,1,1,1.0,1,1,1,5,0,1,4,13172,4533,669,5202,184,0,True,False,True
run_2026-02-01T12-30-58-782Z,2026-02-01T12:30:58.782Z,gpt-single,single,6,5,2,,False,17372,canterbury-632313,1,easy,TopicWG-ADT-Queue-DefInterfaceUse,CS2,Skill-PureKnowledgeRecall,5,3,29,169,4,2,2,1238,456,782,2,1,2,1.5,2,0,0,7,0,2,5,17372,6701,827,7528,120,0,True,False,True
